age,monthly_income,employment_status,num_loans,num_defaults,num_paid_loans,on_time_payment_rate,num_vouches,num_savings,total_saved,is_verified,num_mobile_accounts,loan_amount,loan_duration_days,target
57,359193,2,3,3,0,0.8,3,16,50829,0,1,259048,180,0
20,203161,2,0,0,0,0.92,3,17,198678,1,0,408341,180,1
58,75066,3,4,1,3,0.74,0,19,142808,0,1,489418,60,0
39,157780,1,4,3,1,0.65,0,7,184642,1,1,153128,180,0
33,127730,3,1,1,0,0.59,2,9,23776,0,1,68380,90,0
58,283204,1,0,0,0,0.82,4,10,180039,1,0,50383,180,1
18,282871,2,1,1,0,0.63,6,15,168174,0,1,305079,60,0
44,256364,3,0,0,0,0.63,0,12,122523,1,0,158211,180,0
22,228067,1,7,1,6,0.88,5,2,170793,0,1,474265,90,0
28,81365,0,8,3,5,0.57,7,19,129327,1,0,108863,90,1
28,197697,2,0,0,0,0.54,6,18,19303,0,2,166800,180,0
24,327615,3,10,0,10,0.76,2,16,48921,0,0,181988,180,0
28,381839,0,7,0,7,0.77,3,7,29909,0,1,251195,30,0
36,403690,1,9,2,7,0.79,3,16,130633,1,0,164939,90,1
34,53892,3,5,1,4,0.79,4,0,21433,1,2,151119,30,0
39,481425,3,5,1,4,0.79,0,7,37057,1,0,108339,60,0
45,277890,2,8,3,5,0.86,3,17,163232,0,2,185345,180,0
57,254951,0,3,2,1,0.51,1,0,134891,1,0,454341,90,0
36,245141,0,8,0,8,0.55,5,2,46230,1,2,372911,60,1
41,196646,0,2,0,2,0.88,7,12,170790,1,1,234463,180,1
49,405508,0,3,3,0,0.78,4,18,135032,0,1,19050,30,0
43,50570,3,5,3,2,0.66,1,7,43789,0,2,6378,180,0
22,53150,1,10,0,10,0.52,7,3,5959,0,1,54742,30,0
36,166411,0,8,3,5,0.81,0,12,176954,1,1,409377,30,0
